observation_id,observed_on,latitude,longitude,positional_accuracy,quality_grade,taxon_id,taxon_name,common_name,coordinates_obscured,uri
461649,2012-04-19,42.681572,-72.471963,25.0,research,41976,Lynx rufus,Bobcat,False,http://www.inaturalist.org/observations/461649
4020781,2016-07-06,42.1328429059,-73.1680661718,71.0,research,41976,Lynx rufus,Bobcat,False,http://www.inaturalist.org/observations/4020781
5510730,2016-12-06,42.3301416667,-72.5347972222,,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/5510730
5510735,2016-12-06,42.3298416667,-72.5333027778,,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/5510735
5510736,2016-12-06,42.3302194444,-72.5335222222,,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/5510736
5510738,2016-12-06,42.3302277778,-72.5335166667,,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/5510738
5510739,2016-12-06,42.3299611111,-72.5347888889,,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/5510739
5514982,2017-01-06,42.3309960145,-72.5400424004,31.0,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/5514982
5514989,2016-11-28,42.330472535,-72.5332403183,61.0,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/5514989
9874468,2017-12-25,42.330556,-72.522453,4.0,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/9874468
10735076,2014-11-28,42.614485,-71.571654,5.0,research,632297,Lynx rufus rufus,Eastern Bobcat,False,https://www.inaturalist.org/observations/10735076
10735128,2014-02-23,42.613904,-71.571316,5.0,research,632297,Lynx rufus rufus,Eastern Bobcat,False,https://www.inaturalist.org/observations/10735128
11349499,2018-04-21,42.33163,-72.53135,,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/11349499
11375714,2018-04-23,42.32272143,-72.52624839,15.0,research,41976,Lynx rufus,Bobcat,False,https://www.inaturalist.org/observations/11375714
