latitude,longitude,presence
42.1239310472,-73.1886531344,1
42.3245146377,-71.6544306579,0
42.6170755971,-71.2471948191,0
41.7729301282,-70.5030769976,0
42.37048294,-72.50522384,0
41.3055532433,-70.7657368495,0
42.1915601672,-71.5136827533,0
42.44109198,-72.20990942,0
42.4634666667,-71.0726861667,0
42.2673606834,-71.2142510171,1
42.4596356165,-71.2067699432,0
41.6363972222,-70.5563055556,0
42.8177167141,-70.9091711988,0
42.3969707221,-71.516981115,1
42.0841016501,-71.0448819847,0
42.7559916667,-71.0999305,0
42.394136,-72.44996,0
42.4182533333,-71.3854783333,1
42.1652090376,-70.7186565512,0
42.4043045221,-72.5353815448,1
42.7999283333,-70.8595966667,1
42.6279648128,-71.730203703,1
42.1995470273,-71.758414769,1
42.6421,-71.4662033333,0
42.4719866667,-70.99578,0
42.3734261217,-71.4041025672,1
42.4177061563,-71.1345640553,0
42.3125371,-71.18980834,0
42.2969659298,-71.88395415,1
41.65391667,-70.21080833,0
42.6265746091,-70.7174745304,0
42.583995472,-71.4984691574,1
42.0826328283,-71.4853538509,0
42.40811717,-71.2207205798,0
42.2998603268,-72.2353559504,1
42.6526260376,-71.4557647705,1
42.595875,-71.530625,0
42.4521966667,-71.08065,0
42.2694866667,-71.1683116667,0
42.3310894,-73.1126765,0
41.7422866667,-70.6729666667,0
42.726955,-70.8066533333,0
42.5526858698,-72.7563329248,0
42.5488922819,-72.4479031501,0
42.4430758,-71.9618071997,0
42.3356877,-71.04919062,0
42.4254215885,-71.4179835096,0
42.7232933044,-72.4767456055,0
42.25258119,-72.54186748,1
42.3590727847,-72.5415731242,1
42.0398058359,-71.6793065195,1
42.70807167,-71.08866117,0
42.0783880722,-71.31107485,0
42.2931314915,-71.4340175972,0
42.2437147018,-73.1698707144,0
41.7409233436,-70.6242693024,0
42.7014694444,-72.7757944444,1
42.270725,-71.13591117,0
41.28554167,-70.1625445,0
42.5949371048,-71.3832059038,0
42.0536733403,-70.22901575,0
42.1555447894,-71.4468214248,1
42.3628258016,-71.5411063546,0
42.6384488706,-72.8267605011,0
42.1783,-71.359955,0
42.6031224942,-71.51786034,0
42.52358833,-71.40538,0
42.128935,-71.197085,0
42.141390603,-72.1145880595,1
42.2781325192,-72.7154091823,0
42.459991046,-72.6411656517,1
42.40751667,-71.12815833,0
42.8160583333,-70.8838416667,0
42.35546875,-72.5051193237,1
42.1085971667,-71.1895533333,0
42.6146507471,-70.6537161052,0
42.0930555384,-71.1757802299,0
42.1951004982,-72.6544065085,0
42.1245471667,-71.1670533333,0
42.3327304577,-71.2194318846,0
42.3635477617,-71.3734540376,1
42.4740153,-72.5643919,0
42.2240245363,-72.2370047084,1
42.2675013735,-71.2140141814,1
42.3214018785,-71.4067547311,0
42.34554473,-71.81870561,0
42.3751061783,-72.4912376915,1
42.2842861111,-71.1484305556,0
42.5429611206,-71.0275039673,0
42.3459472446,-71.1120112373,0
42.3038333428,-71.983825,0
42.4327209228,-72.4999196549,0
42.6331745468,-70.6813156843,0
42.4869822571,-71.15537446,0
42.3156583333,-71.1694333333,0
42.0954197071,-71.238753628,0
42.1000833333,-73.1763616667,0
41.77995,-70.7637633333,0
42.4787057612,-71.2465047046,1
42.2360894682,-71.0349248884,0
42.47137,-71.5425883333,0
42.3925133333,-71.1011666667,0
42.4869980277,-72.2598106673,0
42.54554667,-71.55633667,1
42.4635866667,-71.1049583333,0
42.4159458188,-71.5260644448,0
42.6413682676,-72.0881555329,0
42.6245283333,-71.40905,1
42.1885389722,-71.198729,0
42.1791764091,-71.93041698,1
42.515885,-71.341479,0
42.5469749529,-70.9033199182,0
42.6902198792,-70.7727127075,0
42.2396099443,-70.7597377648,0
42.2690980507,-70.9980816803,0
42.4898021695,-71.0027050214,0
42.3798287761,-73.362393924,0
42.0695624236,-71.1939070133,0
42.2331,-71.2419,0
42.604443109,-71.6173991253,1
42.5956277778,-72.2169333333,0
42.002676,-70.717883,0
42.5161416667,-70.9828194444,0
42.4455861111,-71.34095,0
42.326667,-72.539167,1
42.539,-71.52,1
42.3226128,-71.1052537997,0
42.3964522042,-71.395711375,0
42.45743787,-72.25136552,1
42.2358810929,-71.7970641162,0
41.927855,-70.055725,0
42.4413904874,-71.8572000135,0
42.2419583333,-72.6607583333,1
42.261125,-72.336302,0
42.653506992,-71.1657577754,0
42.2770174084,-73.0377059379,1
42.329473,-72.533925,1
42.3276996573,-72.68254783,1
42.703225,-73.1958611111,1
42.37268,-71.5206966667,0
42.505622,-71.418859,0
42.3532666667,-71.0804888333,0
42.0873051993,-71.397251509,0
42.2928852284,-71.3129786769,1
42.128768242,-71.3704108568,0
42.4931793249,-71.3707621142,1
42.1431202974,-70.782187875,0
42.3614291277,-71.2604139329,0
42.4798416667,-72.7137466667,0
42.6879437366,-71.111247763,0
42.4932705542,-71.3706647201,1
42.4121712669,-71.3665042073,0
42.3846835314,-72.5183879212,1
41.749257,-69.985943,0
42.4879,-71.2542333333,0
42.2785466344,-71.2704883333,1
42.3137742978,-72.6220063524,0
42.4667572997,-71.3104823997,1
42.2969289218,-71.7139770733,0
42.5707362778,-72.518242,0
42.7226759,-71.1692723,0
42.0542555,-70.11116117,0
42.6279221363,-71.7291113734,1
41.6226389755,-70.8570133169,0
42.4125219137,-71.4208078758,0
42.176947014,-71.6050625545,0
41.8476341667,-71.1119177778,0
42.4250924071,-71.5282121357,1
42.0426048212,-71.1894411966,0
42.8622363896,-70.9889507037,0
42.3687748,-71.1759967,0
42.21029303,-73.3807248448,0
42.2891916667,-72.6792966667,0
42.291625,-71.830825,0
41.8938333333,-69.98375,0
42.4356633333,-71.4981483333,0
42.246498,-71.268777,0
42.3423366353,-71.2072568689,0
42.3285001568,-72.6604990787,1
41.6155264302,-69.9854745146,0
42.4250893971,-71.5281397699,1
42.6449317932,-72.4727554321,0
42.7079959733,-70.7710190832,0
42.4706033333,-71.38227,0
41.6872779722,-70.9084009722,0
41.9370994568,-70.6173477173,0
42.289120512,-71.7693220451,0
41.7095461492,-70.0835601646,0
42.521145,-70.7848966667,0
42.1190854847,-71.2059887481,0
42.6195916667,-72.718895,0
41.35365,-70.8191383333,0
41.4224685,-70.5710349997,0
41.94353667,-70.05516117,0
42.0581840822,-72.2625449114,1
42.0713799071,-70.2424123805,0
42.724425,-73.1955,0
42.1402111912,-72.4517621807,1
42.0587110658,-71.0727785813,0
42.5674510116,-71.7976406674,1
42.5590421444,-71.8379084812,0
42.1977195339,-71.6816169557,1
42.1292916,-72.4667613997,1
42.0835477204,-71.570206193,0
42.2378801965,-71.1146564378,0
42.0189229526,-71.2969221983,0
42.3785057493,-72.4787268196,0
42.67473471,-72.32307578,1
42.1044311523,-72.5857162476,0
42.2304599613,-71.3991319916,0
