observation_id,observed_on,latitude,longitude,positional_accuracy,quality_grade,taxon_id,taxon_name,common_name,coordinates_obscured,uri
449814,2013-11-06,42.570049,-72.53805,4.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/449814
678166,2014-05-15,42.3700166667,-71.144155,,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/678166
816666,2014-06-26,41.524572,-70.660023,12.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/816666
816798,2014-04-18,41.51684,-70.677366,12.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/816798
818747,2006-04-18,41.527857,-70.658264,12.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/818747
1181995,2015-01-16,42.062018,-71.110822,200.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1181995
1393106,2015-03-26,42.079063,-72.548612,,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1393106
1436368,2015-04-26,42.30906108,-72.37345741,3.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1436368
1615333,2015-05-24,42.271594,-71.218652,,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1615333
1615342,2015-05-23,42.271634,-71.218674,,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1615342
1615391,2015-05-28,42.271655,-71.218582,,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1615391
1615407,2015-06-03,42.272183,-71.219677,12.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1615407
1639611,2015-06-11,42.268777,-71.217236,12.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1639611
1873692,2015-08-18,42.430799,-73.236432,49.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/1873692
2706763,2015-11-18,41.739161,-71.172076,15.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/2706763
2743634,2015-05-02,42.3873516667,-73.2348266667,196.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/2743634
3094010,2016-04-30,42.175,-72.54276,38.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/3094010
3380716,2015-10-03,42.23409,-71.557738,7.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/3380716
3626853,2016-05-14,41.6668690312,-69.95611757,20.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/3626853
3948425,2016-03-05,42.4022690478,-71.1082234383,15.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/3948425
4231287,2016-09-29,41.6753293104,-70.0912785532,15.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/4231287
4397155,2016-10-19,42.1908338508,-71.1065626144,50.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/4397155
4428096,2016-10-24,42.0431120928,-71.1858492543,65.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/4428096
4433945,2016-10-25,42.3786664147,-71.084223501,100.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/4433945
4460877,2014-08-14,42.6030098465,-70.8971786499,244.0,research,42051,Canis latrans,Coyote,False,http://www.inaturalist.org/observations/4460877
4871036,2016-07-29,42.6412278979,-70.7619792223,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/4871036
4907296,2017-01-07,42.4461497739,-71.4752164018,5.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/4907296
4919475,2017-01-09,41.6590116667,-70.372545,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/4919475
5509807,2017-01-26,42.3246961263,-72.537911385,4.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5509807
5509979,2017-02-21,42.3307897958,-72.539935112,31.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5509979
5510225,2017-01-29,42.3246842279,-72.51874499,2.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5510225
5510480,2016-10-28,42.3275318481,-72.527213394,4.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5510480
5510733,2016-11-23,42.3260416667,-72.5427944444,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5510733
5514983,2017-01-08,42.33097222,-72.540045082,4.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514983
5514986,2017-01-08,42.3309504085,-72.5400531292,2.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514986
5514987,2017-01-08,42.33097222,-72.540039718,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514987
5514988,2017-01-08,42.3309960145,-72.5400316715,31.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514988
5514991,2016-11-27,42.3309166997,-72.5400692225,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514991
5514992,2016-11-27,42.3308532478,-72.5400531292,31.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514992
5514994,2016-09-24,42.3299252564,-72.5333744287,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514994
5514997,2016-10-24,42.3305994395,-72.5334763527,61.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514997
5514998,2016-10-24,42.3304408089,-72.5333046913,61.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5514998
5525154,2016-12-24,42.329632,-72.534506,30.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5525154
5700920,2017-04-14,42.7580533333,-70.8031,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5700920
5752850,2017-01-28,42.6549636842,-70.927957153,165.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/5752850
6653922,2017-06-08,42.3286364544,-72.5444461279,80.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/6653922
6747730,2017-06-17,42.3283687169,-72.544269542,84.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/6747730
6747785,2017-06-08,42.3270569887,-72.5276373594,66.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/6747785
6817876,2017-06-24,42.3201064723,-72.5412443692,149.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/6817876
7204064,2017-07-25,42.6316879771,-71.2239664437,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/7204064
7512482,2017-08-15,42.6030216292,-71.2527374495,22.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/7512482
7742833,2017-09-01,42.6028252554,-71.2528118969,165.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/7742833
7945321,2017-09-04,42.6031477636,-71.2527763149,22.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/7945321
8377914,2017-10-12,42.0706693277,-73.1300540329,226.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/8377914
8482838,2017-10-20,41.6326329331,-70.8875489327,171.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/8482838
8512703,2017-09-23,42.6030314,-71.252667,186.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/8512703
8525586,2016-10-13,41.9218699891,-70.5456054211,50.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/8525586
9164049,2017-12-15,42.1435506893,-70.7602518797,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9164049
9243668,2017-12-18,42.4306846666,-71.3327875176,178.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9243668
9249379,2017-12-14,42.0153999329,-71.3424758911,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9249379
9337580,2017-11-16,42.32766,-72.5431581,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9337580
9501034,2018-01-16,42.7818999432,-70.8072023392,8.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9501034
9511075,2017-11-13,42.0616560638,-71.0902118683,122.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9511075
9511122,2017-10-31,42.0621658441,-71.0894393921,122.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9511122
9649484,2017-09-22,42.4136384003,-71.5107578778,8.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9649484
9722184,2013-02-25,42.2510867549,-70.8599817753,31.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9722184
9722185,2013-02-25,42.2511525375,-70.8603841066,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9722185
9722345,2013-02-23,42.2511209041,-70.8597135544,122.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9722345
9809239,2018-02-10,42.454545,-71.3361283333,5.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9809239
9828413,2018-02-11,41.5276593767,-70.9852783662,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9828413
9872303,2017-12-21,42.327972,-72.54305,4.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9872303
9874460,2017-12-26,42.330556,-72.522453,4.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9874460
9947279,2018-02-12,42.6031988368,-71.2527340531,22.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/9947279
10263318,2018-03-16,42.33102944,-72.53075649,8.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/10263318
10308480,2018-03-16,42.3591651917,-71.0897216797,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/10308480
10519302,2018-03-30,42.47960926,-71.07357654,9.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/10519302
10585636,2018-03-17,42.3275185,-72.5431581,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/10585636
11522384,2018-04-27,42.3129382167,-71.0085954665,61.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/11522384
11801493,2018-04-29,42.4508838309,-71.5076248628,10.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/11801493
12623003,2018-04-22,42.33109,-72.53094,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/12623003
12976397,2018-05-31,42.4451617739,-70.9889812553,69.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/12976397
13278006,2018-06-09,42.495971,-70.87926,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/13278006
13375237,2018-06-11,41.8031928021,-69.9357915442,61.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/13375237
13549923,2018-06-17,41.9325916667,-70.0424416667,5.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/13549923
13885035,2013-01-21,42.4132195996,-71.5091776785,110.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/13885035
14260966,2018-07-11,41.7974871322,-69.9459639987,2.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/14260966
15690194,2018-08-18,42.436514243,-71.5250534897,31.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/15690194
15948189,2018-08-24,41.8938333333,-69.98375,5.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/15948189
16146087,2018-08-21,41.9363833333,-70.0468611111,5.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/16146087
16192808,2018-08-18,42.4486682666,-71.4773307933,184.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/16192808
16290728,2018-09-07,41.9210666667,-70.5456166667,5.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/16290728
16696992,2018-09-15,42.4410251095,-71.5193781302,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/16696992
16990429,2018-09-27,42.5937830453,-71.5535625172,130.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/16990429
17136185,2018-10-02,41.6975904697,-70.2883149755,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/17136185
17289708,2018-10-07,42.4401671275,-71.5352419896,8.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/17289708
17318913,2018-10-08,42.5121466667,-71.2623283333,10.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/17318913
17319532,2018-10-08,42.5122108459,-71.2624282837,,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/17319532
17393598,2018-10-10,42.5939962951,-71.5534874187,130.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/17393598
17445563,2018-10-12,42.5938225331,-71.5536054349,130.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/17445563
17573870,2018-10-16,41.8006466982,-69.9376495209,15.0,research,42051,Canis latrans,Coyote,False,https://www.inaturalist.org/observations/17573870
