latitude,longitude,presence
42.5802203732,-70.6645342335,1
42.3532308711,-72.6617535166,0
42.2211416667,-71.3025638889,0
42.363368313,-72.5213308812,0
42.3241,-72.6383833333,0
42.21013533,-71.0070091146,0
41.7002400421,-70.0357009554,0
42.2783,-71.0316083333,0
42.5950939,-71.0161643,0
42.4946883333,-72.4299,0
42.6779178624,-72.9482568429,0
42.528185,-72.5450709722,0
42.6529166667,-71.0133527833,0
42.69476254,-71.21176038,0
42.4152866667,-72.5328916667,0
42.2894166667,-71.2801283333,1
42.4923653572,-71.3668222585,1
42.2282916667,-72.1868533333,0
41.915430422,-71.258617295,0
41.5028533333,-70.70523,1
42.106475,-71.2212366667,1
42.0639449752,-71.5846876227,0
42.364491,-73.147028,0
42.1143972746,-70.8093832213,0
42.6173874379,-71.1204042058,0
42.4505712321,-71.7517764693,0
42.50007,-71.448095,0
42.4530182065,-71.0822125201,1
42.2077533333,-71.5796133333,0
42.3906166667,-71.9459,0
42.6039883333,-72.7407216667,0
42.640499115,-72.0877075195,0
42.2743087021,-71.632751321,1
42.6677249941,-70.6182523551,0
41.4061668281,-70.6019455567,0
42.7174633333,-70.9569166667,0
42.3874923872,-71.2786830003,0
42.4186947833,-72.4016720536,0
41.8634616667,-70.5397716667,0
42.3609497713,-71.5566999838,0
42.3579349451,-71.1912094429,1
42.4751138889,-71.1938583333,0
42.2773110734,-71.8084151205,0
41.7685365748,-70.0876874864,0
42.0743743296,-71.147458757,0
42.2340133333,-71.6602383333,1
42.83577,-70.8999416667,0
42.0714907,-70.8092074,0
42.6055991615,-70.6467761355,0
42.3213100219,-71.192716573,0
42.5062333333,-72.1815766667,0
42.8090147506,-70.97435879,1
42.37394195,-70.98618397,0
42.5000840938,-72.6991778613,0
42.2986625771,-71.333360811,1
42.3389733333,-73.226995,0
42.294051055,-71.8254814686,0
42.3389453667,-72.1421519349,1
42.6342767693,-70.8287082164,1
42.0717860997,-71.6966927997,0
42.0850793868,-71.2100923154,1
42.1479788152,-72.039790422,0
42.2297299805,-71.1741874516,0
42.8069794277,-70.9731484722,1
41.864718689,-71.1054980146,1
41.7602769938,-70.8007519786,0
41.569114559,-70.4670462124,0
42.388625,-73.29438,1
42.5608931576,-71.102815117,0
42.2081116667,-73.3651283333,0
42.367928976,-71.2582016364,1
42.5064414062,-72.6302243024,0
42.0276503987,-70.671856612,0
41.6172790527,-70.6260452271,0
42.58770734,-72.61796877,0
42.4077166667,-72.2419533333,0
42.3273104978,-71.1279056221,0
41.8813350187,-70.0000209346,1
42.3066678329,-72.219504118,0
42.4238010285,-71.3839985803,1
42.1204613837,-70.9362623458,0
42.0836698502,-70.7981643359,1
42.3613616667,-71.250275,1
42.3080907947,-71.0907097851,1
41.7606446936,-70.1133244201,0
42.3309166997,-72.5400692225,1
42.2628855824,-71.0049604682,0
42.6317583333,-70.9221633333,1
41.7709763889,-69.9590847222,0
42.2863597953,-72.3214845608,0
42.350465,-72.3998883333,0
42.47861,-72.2496966667,0
42.059975,-71.713183,0
42.5523724109,-71.7907954067,1
41.751284577,-70.6219816417,0
42.0372841857,-70.1963302388,1
42.691475,-71.549575,0
42.4659672065,-71.4118370144,1
42.3799459479,-72.5322812531,0
42.7665960672,-71.1130348422,0
42.5404549344,-72.9671724581,0
42.665375,-71.548295,0
42.2545809597,-71.0647198539,0
42.351095,-71.5690783333,0
42.3158291663,-71.3371547086,0
42.0990388434,-71.2109278481,0
42.5121466667,-71.2623283333,1
42.1499840232,-72.6714367792,0
41.5446401714,-70.5804827717,0
42.5251166667,-72.1849883333,1
42.6,-71.57,0
42.6529089892,-73.208679842,0
42.297305,-72.5734633333,0
42.2236366667,-70.854775,0
42.8155190499,-70.9588647225,1
42.3782111944,-72.2058217227,0
42.2820194444,-71.1384055556,0
42.275917426,-71.0564314443,1
42.5578878464,-71.7283452675,0
41.290505,-70.09522217,0
42.6966333333,-70.85878,0
42.2378444444,-71.1590166667,0
42.4593134959,-72.8959465054,1
42.3786664147,-71.084223501,1
42.6176048723,-72.2915785667,0
41.6649409058,-69.9420260034,1
42.1986883333,-71.2817466667,0
42.3408607222,-72.5131331667,0
42.3371271898,-72.468970284,1
42.6369466667,-71.1663195,1
42.2008783333,-70.9732774722,0
42.409355,-71.0036611167,0
42.0529983997,-71.3592213,0
41.6283643141,-70.8740655637,0
42.0952414167,-71.3879817041,1
42.46732167,-72.38670333,0
42.2970335934,-71.8837194411,1
42.4727235619,-71.6155399583,0
42.0838761656,-70.9511202202,0
42.2167705279,-70.7901465241,1
42.669243305,-72.4829850253,0
42.3005666667,-72.309765,0
42.6897093293,-70.6262750192,0
42.6758666667,-72.2805866667,0
42.0650657701,-71.8260983978,0
41.9564037158,-70.7851028558,0
42.1356499697,-71.0062174032,0
42.060876114,-72.546449964,0
42.3271773647,-71.1447471846,0
42.3565155454,-71.0636483599,0
42.48092165,-71.21351668,0
42.1095373203,-73.4358443879,0
42.2514038086,-72.3500213623,0
41.7949436622,-70.5733669903,0
42.1425907915,-70.7354300114,0
42.1726471175,-72.7522802353,0
42.08675,-72.5167166667,0
42.31408,-71.7410283333,0
42.2137484644,-70.9793665131,0
41.9206730175,-71.2301886215,0
42.3422393609,-73.0394252811,1
42.4752282447,-70.9529451909,0
42.1991662994,-70.7162397369,0
42.14175,-70.87198667,0
42.2510867549,-70.8599817753,1
42.4243555354,-71.1288885075,1
42.2147366667,-71.20137,0
41.8712638889,-70.6413388889,0
42.2224212625,-71.9825371659,0
41.7307366667,-70.233795,0
42.3835205709,-72.5167993829,0
41.5843505145,-70.5779745889,0
42.3994409088,-72.2230329071,0
42.0342629,-71.5634687,1
42.40568667,-71.0951305,1
42.5371166667,-72.1795666667,0
41.7425575256,-70.4073791504,0
42.4057833333,-71.3323533333,1
42.6139144897,-72.0787124634,0
42.099368388,-70.9331135336,1
42.5515796571,-71.775994124,0
41.997382175,-70.8598640096,0
42.2130666667,-71.415305,0
42.1274663333,-70.6830503333,0
41.6107972222,-70.6500777778,0
41.9223995106,-70.0142821853,0
42.5681235264,-72.5355442611,1
42.0643,-71.3790888889,0
42.3206636397,-71.466574303,1
42.6470666667,-72.5553516667,0
42.643860727,-71.2970030671,0
42.6491889954,-71.1621551514,0
42.2230513823,-72.4240207635,0
42.269427,-71.2973379722,0
42.4333491611,-71.6724155939,0
42.3464034079,-71.0377207027,0
42.5615272132,-70.7728855925,0
42.3442522858,-71.0926345383,1
42.4708283333,-71.16922,1
41.6494451877,-70.4518088473,0
42.5090757203,-72.4774249939,0
42.63276211,-71.57226674,0
42.1212076758,-73.0494622886,0
42.28294667,-71.29151167,0
42.6459555556,-70.6048194444,1
42.06323333,-72.69732833,0
42.5380866667,-72.70202,0
42.395857391,-71.429452384,0
42.48242,-71.2346633333,1
42.4140577342,-71.5616535801,1
42.25112833,-71.83577,0
41.446424,-70.5638119722,0
42.1757323943,-71.6686678204,0
41.6285596452,-71.0663965071,1
42.2240677946,-71.0533107834,0
42.45331426,-72.2222207,0
42.61750159,-72.34534223,0
42.2672118095,-71.0644702257,1
41.3422638889,-70.7110722222,0
42.3051166667,-71.6146233333,0
42.6577553343,-71.1695218686,0
42.2963116667,-71.7920533333,1
41.682975,-70.21457833,0
42.0929138333,-70.7217716667,0
42.2721724376,-71.0365691217,0
42.607515,-72.61896,0
42.1801518378,-70.8018353857,1
41.7040033333,-70.6166833333,0
42.346776197,-72.6712286425,0
42.1009842373,-70.9337384999,1
42.16855127,-72.62989629,0
42.483365,-71.4180966667,0
42.847992105,-71.0316221896,0
42.20364,-71.4625476,0
42.3779814997,-72.5856593997,0
42.281601861,-71.8565736778,0
41.6361055556,-70.5824527778,0
42.5227155421,-70.8829101531,0
41.5301489701,-71.064146964,0
42.3239388572,-72.4867654863,0
42.3106388889,-72.3248111111,1
42.0946150091,-72.9483130923,0
42.4981638776,-72.202085037,0
42.6467883333,-72.6752466667,0
42.657695,-71.6647716667,0
41.8827783333,-69.9950116667,1
42.091969,-70.642349,0
42.2758136115,-71.3017556241,0
42.4419333008,-71.5598337223,1
42.5878495876,-73.088424752,0
42.6090803903,-70.6693519944,0
42.6978958025,-72.3191859168,0
41.353309,-70.832884,0
42.3630038507,-71.2464605376,1
42.3202833333,-70.9257283333,0
42.3502024179,-71.1049536505,0
42.3466778333,-71.5629269167,0
42.252625,-73.0599361667,0
42.2152052913,-70.7446876076,0
42.4536533333,-72.5803833333,1
42.5941963613,-72.8838321831,0
42.4188383333,-71.2035616667,1
42.5303104997,-70.8741019997,1
42.6477601899,-71.1191717565,0
42.280357,-71.1828638,1
42.7818999432,-70.8072023392,1
42.39907,-72.65747,0
42.0377283781,-71.1864632741,1
42.8418336954,-70.9399272627,0
42.2708944444,-71.1958472222,0
42.6451333333,-72.9309305556,0
42.3735653262,-71.1448950577,1
41.7626383333,-70.619355,0
42.807105,-70.97283,1
42.24598,-71.55203833,0
42.3442466667,-71.2616966667,0
42.3088306286,-71.2148013971,0
41.3728972222,-70.6586833333,0
42.1608055663,-71.1599493027,0
42.2760530219,-71.2901066963,0
41.79978667,-69.951605,1
42.3702936814,-71.4529776984,0
42.5674318434,-72.218459994,0
42.4898771773,-71.4305628704,0
42.5590421444,-71.8379084812,0
41.7225216667,-71.0420305,0
42.36181872,-73.22362083,0
41.8386399933,-71.0583937448,0
42.33109,-72.53094,1
42.2562252528,-72.6689372957,0
42.1677548229,-71.1961973459,0
42.6430745279,-71.5688967281,0
42.1355528333,-72.859405,0
42.1894616667,-73.3504783333,0
42.2997333333,-70.881645,0
42.2749666667,-72.6649083333,0
42.0698907925,-71.5951099713,0
41.5892664392,-70.8228879501,0
42.450920105,-72.5057830811,0
42.462750708,-71.5188050337,1
42.0742441,-70.6892037,0
42.2472784555,-71.77927237,0
41.849002144,-70.6236488907,0
41.9887933865,-70.7036725344,1
42.4069387253,-71.1476090902,1
42.6366888889,-70.8971805556,0
42.4254934398,-71.4334701578,1
42.6930283333,-70.5279466667,0
42.47345333,-70.90016167,1
41.347338,-70.654334,0
42.355246279,-71.5588387102,0
42.033124763,-70.902334937,0
42.1397507406,-71.2684672992,0
42.44545333,-71.99449167,0
42.244355,-73.2070083333,0
41.8349616667,-70.53855,1
42.4530946318,-72.1843061977,0
42.3661791845,-70.8692698873,0
42.0321721667,-70.0610721667,0
42.1218313038,-71.2032384372,1
42.0793888333,-70.2193366667,1
42.3754159015,-72.2160945833,0
41.5212928551,-71.0699789966,0
42.2197426876,-72.540325304,0
42.6576198455,-70.6009121915,1
42.49337,-71.2486116667,1
42.6867133783,-70.9679827083,0
42.3812998,-71.7955259,0
42.8057833333,-70.92208,0
42.416694383,-72.5099267685,0
42.4201041592,-72.483009599,0
42.2130166667,-71.0183721667,0
42.1027666667,-73.4309833333,0
42.1970202914,-71.3739394583,0
41.8844549762,-69.9951373252,1
42.09765,-71.1701666667,0
41.8942501707,-70.5371327698,1
42.8114803486,-70.8587873968,0
41.9160883333,-70.628395,0
42.3922338275,-71.2920084749,0
