observation_id,observed_on,latitude,longitude,positional_accuracy,quality_grade,taxon_id,taxon_name,common_name,coordinates_obscured,uri
44675,2011-11-04,41.52968,-71.013275,,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/44675
368391,2013-08-17,42.56917,-72.53373006,8.0,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/368391
1181990,2015-01-16,42.062018,-71.110822,200.0,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/1181990
3380643,2015-09-10,42.234582,-71.558317,7.0,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/3380643
4314099,2016-09-20,42.1224853695,-71.5563090332,120.0,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/4314099
4460874,2014-08-09,42.6029466691,-70.8983802829,213.0,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/4460874
4460898,2015-06-19,42.6032625527,-70.8973503113,244.0,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/4460898
4501796,2015-05-21,42.6021569548,-70.8971786522,124.0,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/4501796
4501818,2015-03-13,42.602601,-70.896848,,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/4501818
4525618,2015-11-10,42.4525966667,-71.3031383333,,research,453109,Pekania pennanti,Fisher,False,http://www.inaturalist.org/observations/4525618
5791972,2017-04-14,42.6024109,-70.896283,160.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/5791972
5953785,2017-04-25,42.5889543957,-71.536203716,5.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/5953785
9649504,2017-01-12,42.4131552127,-71.5081883124,62.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/9649504
9722143,2013-02-21,42.2341666667,-70.877,,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/9722143
9722145,2013-02-21,42.2341666667,-70.8768305556,,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/9722145
9722149,2013-02-21,42.2343333333,-70.8768305556,,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/9722149
9732539,2018-01-05,42.6303637241,-70.8429127943,244.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/9732539
9968252,2018-02-23,42.1063577863,-70.7769727707,15.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/9968252
11042865,2016-03-05,42.4414508555,-71.5248148791,156.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/11042865
11082063,2018-04-17,42.37887,-72.9012133333,5.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/11082063
12173152,2018-05-05,42.453047284,-71.5225446504,5.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/12173152
12182888,2017-06-24,42.1704154708,-71.0957969856,22.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/12182888
12294771,2018-05-09,42.2941472222,-71.2601916667,8.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/12294771
13885084,2013-01-11,42.413230287,-71.5092936611,131.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/13885084
16066447,2018-08-31,42.6367150974,-71.6558389523,22.0,research,453109,Pekania pennanti,Fisher,False,https://www.inaturalist.org/observations/16066447
