observation_id,taxon_id,taxon_name,common_name,latitude,longitude,positional_accuracy,observed_on,coordinates_obscured
1120,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3526153564,-71.0700378418,,2008-11-28,False
3402,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3650550842,-71.0666732788,,2009-10-23,False
12398,711289,Halichoerus grypus atlantica,Atlantic Grey Seal,41.7952746,-70.3683425,,2002-08-25,False
20851,43096,Sylvilagus,Cottontail Rabbits,41.589482377,-70.748414225,,2011-06-08,True
24448,43794,Castor canadensis,American Beaver,42.2787693934,-72.3451852798,,2011-07-10,False
44675,453109,Pekania pennanti,Fisher,41.52968,-71.013275,,2011-11-04,False
51984,43794,Castor canadensis,American Beaver,42.2159957668,-73.2597970963,196.0,2011-06-20,False
56093,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3757209778,-71.1176376343,5.0,2012-03-08,False
56095,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3757185076,-71.116935844,,2012-03-08,False
56096,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3757854984,-71.1171546578,,2012-03-08,False
63485,45763,Ondatra zibethicus,Muskrat,42.4762146437,-71.3293259227,,2012-04-07,False
68223,43111,Sylvilagus floridanus,Eastern Cottontail,42.3046885617,-71.1815627106,10.0,2012-04-20,False
76697,43794,Castor canadensis,American Beaver,42.4349407363,-71.340257146,7.0,2012-04-21,False
79896,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3785412172,-71.1161443033,5.0,2012-05-17,False
80272,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.374079,-71.117507,5.0,2012-05-18,False
83834,43111,Sylvilagus floridanus,Eastern Cottontail,41.4218333333,-70.6186666667,,2012-05-22,False
84621,41663,Procyon lotor,Common Raccoon,42.439121,-71.508967,5.0,2012-05-29,False
89339,41880,Mephitis mephitis,Striped Skunk,41.424,-70.6193333333,,2012-06-07,False
94979,41663,Procyon lotor,Common Raccoon,41.4208333333,-70.6208333333,,2012-06-23,False
103370,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.366739,-71.069897,5.0,2012-07-19,False
116930,63113,Blarina brevicauda,Northern Short-tailed Shrew,42.861787,-70.978052,5.0,2012-08-26,False
116931,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.858568,-70.954443,5.0,2012-08-26,False
141740,1264432,Neogale vison,American Mink,42.4782980047,-71.3359260666,,2012-05-07,False
141754,41663,Procyon lotor,Common Raccoon,42.371403,-71.14377,,2011-04-25,False
141755,45763,Ondatra zibethicus,Muskrat,42.477015,-71.331181,,2012-04-26,False
141766,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.385035,-71.149992,,2007-03-11,False
141769,46217,Tamias striatus,Eastern Chipmunk,42.371677,-71.14427,,2012-05-12,False
141778,46095,Marmota monax,Groundhog,42.428237,-70.932841,,2007-10-04,False
142151,46217,Tamias striatus,Eastern Chipmunk,42.4302350554,-71.312550621,,2012-10-23,False
156489,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.387938,-71.145314,,2012-12-03,False
161334,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3876487851,-71.1242008209,,2012-12-07,False
162772,41663,Procyon lotor,Common Raccoon,42.411301,-71.213808,,2012-12-16,False
176857,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.677641,-72.187748,,2013-01-09,False
216920,46217,Tamias striatus,Eastern Chipmunk,42.375208,-71.1449735,1229.0,2010-07-25,False
216921,46217,Tamias striatus,Eastern Chipmunk,42.3171611,-71.1203423,531.0,2011-05-29,False
223527,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.307293,-71.119601,2330.0,2013-03-23,False
229309,45763,Ondatra zibethicus,Muskrat,42.3171611,-71.1203423,531.0,2013-04-03,False
256206,43111,Sylvilagus floridanus,Eastern Cottontail,42.3710383333,-71.14403,,2013-05-06,False
257994,43111,Sylvilagus floridanus,Eastern Cottontail,42.395794,-72.518299,225.0,2013-05-03,False
261166,43111,Sylvilagus floridanus,Eastern Cottontail,42.370897,-71.144895,,2013-05-10,False
270515,42069,Vulpes vulpes,Red Fox,42.042154,-70.128479,3158.0,2013-04-24,False
301054,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3888283333,-71.1510783333,,2013-06-15,False
304957,43111,Sylvilagus floridanus,Eastern Cottontail,42.3874083333,-71.1492133333,,2013-06-19,False
304959,46217,Tamias striatus,Eastern Chipmunk,42.3874083333,-71.1492133333,,2013-06-19,False
304971,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3874083333,-71.1492133333,,2013-06-19,False
309384,46217,Tamias striatus,Eastern Chipmunk,42.4805883333,-71.163805,,2013-06-23,False
309385,46217,Tamias striatus,Eastern Chipmunk,42.4805883333,-71.163805,,2013-06-23,False
313350,43111,Sylvilagus floridanus,Eastern Cottontail,42.404968,-71.171177,30.0,2013-06-27,False
315384,43111,Sylvilagus floridanus,Eastern Cottontail,42.377175,-71.126059,10.0,2013-06-29,False
334699,44026,Erethizon dorsatum,North American Porcupine,42.528607,-72.314976,1000.0,2013-01-18,False
334704,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.526076,-72.301891,100.0,2010-12-26,False
342018,41566,Megaptera novaeangliae,Humpback Whale,42.1492626234,-70.3494487002,,2012-08-05,True
358512,46217,Tamias striatus,Eastern Chipmunk,42.38797,-71.1480133333,,2013-08-06,False
358514,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.38797,-71.1480133333,,2013-08-06,False
359328,43111,Sylvilagus floridanus,Eastern Cottontail,41.274,-70.2055,,2013-08-10,False
361579,46260,Tamiasciurus hudsonicus,American Red Squirrel,42.4062083333,-71.3316116667,,2013-08-10,False
365623,43794,Castor canadensis,American Beaver,42.24276262,-72.62194281,5.0,2013-08-14,False
366460,1264427,Mustela richardsonii,American Ermine,42.739119,-70.796527,74.0,2011-07-09,False
366912,46017,Sciurus carolinensis,Eastern Gray Squirrel,42.3873366667,-71.1463616667,,2013-08-16,False
366927,43111,Sylvilagus floridanus,Eastern Cottontail,42.3873366667,-71.1463616667,,2013-08-16,False
367513,42069,Vulpes vulpes,Red Fox,42.14608429,-72.61970128,10.0,2013-08-16,False
367515,42652,Didelphis virginiana,Virginia Opossum,42.14653036,-72.62006993,5.0,2013-08-16,False
