observation_id,observed_on,latitude,longitude,positional_accuracy,quality_grade,taxon_id,taxon_name,common_name,coordinates_obscured,uri
461666,2013-09-18,42.519672,-72.304158,42.0,research,41777,Lontra canadensis,North American River Otter,False,http://www.inaturalist.org/observations/461666
659504,2014-05-04,42.196731,-71.1045,5.0,research,41777,Lontra canadensis,North American River Otter,False,http://www.inaturalist.org/observations/659504
3298243,2016-05-25,41.52752,-70.653755,,research,41777,Lontra canadensis,North American River Otter,False,http://www.inaturalist.org/observations/3298243
3626824,2016-04-20,41.6791703962,-70.1161462069,15.0,research,41777,Lontra canadensis,North American River Otter,False,http://www.inaturalist.org/observations/3626824
4024426,2016-09-03,41.6463512809,-70.6241146667,65.0,research,41777,Lontra canadensis,North American River Otter,False,http://www.inaturalist.org/observations/4024426
4149567,2016-09-17,42.5268117343,-71.4764177799,15.0,research,41777,Lontra canadensis,North American River Otter,False,http://www.inaturalist.org/observations/4149567
4344354,2016-10-12,42.1905476817,-71.1135363579,15.0,research,41777,Lontra canadensis,North American River Otter,False,http://www.inaturalist.org/observations/4344354
4648410,2016-11-27,42.52142244,-72.29878268,8.0,research,41777,Lontra canadensis,North American River Otter,False,http://www.inaturalist.org/observations/4648410
4831277,2016-12-22,41.7166663632,-70.1824522019,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/4831277
4961048,2017-01-07,41.6098513875,-70.5718374252,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/4961048
5443219,2017-03-24,42.3273583333,-72.513245,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/5443219
5658430,2017-03-07,42.3659085966,-71.245726347,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/5658430
5831124,2017-04-18,42.0203502684,-70.8641338348,244.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/5831124
5855985,2017-04-19,41.680845524,-70.1103222372,15.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/5855985
8843814,2017-11-01,42.7112283333,-72.492895,,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/8843814
9166229,2017-12-15,42.0886249885,-70.797495693,4.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/9166229
10779530,2016-01-29,42.5913692336,-71.5168606338,0.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/10779530
12344794,2018-05-10,42.0641056194,-71.1623842328,150.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/12344794
13457293,2018-06-15,41.9217048213,-70.5433849712,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/13457293
14272160,2018-07-11,41.9460366667,-71.3712383333,5.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/14272160
14808052,2018-07-21,41.8855174574,-69.9919983011,122.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/14808052
14868832,2018-07-28,42.0978061105,-71.6471359729,50.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/14868832
16012283,2018-08-29,42.6001447504,-72.5437385929,137.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/16012283
18312131,2018-10-24,42.4161784067,-71.4740845889,61.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/18312131
18328262,2018-11-11,42.4504529755,-71.5495810199,175.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/18328262
18753952,2018-12-01,41.34980949,-70.4941154,3.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/18753952
18897031,2018-12-08,42.026873043,-70.8746314872,31.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/18897031
18913481,2010-06-17,42.3412720503,-72.2312601614,8.0,research,41777,Lontra canadensis,North American River Otter,False,https://www.inaturalist.org/observations/18913481
