latitude,longitude,presence
42.5594966667,-72.713905,0
42.2824655588,-71.1732385756,1
42.1495116795,-71.4282979894,1
42.3420219092,-72.5287439263,1
42.5257027941,-72.1838541795,0
42.2859722712,-72.3405889794,1
42.44380333,-71.39482167,0
42.48165,-71.1520695,0
42.0680348509,-71.1523120116,1
42.47145,-71.1706083333,1
42.5341327357,-72.5462097275,0
42.5063888889,-70.8831777778,0
42.5884868985,-71.1123722792,0
42.052751177,-72.0949613772,0
42.1876580124,-71.1943453717,0
42.4879,-71.2542333333,0
41.929136,-71.265797,1
42.4011408333,-71.7875248889,1
42.4551783333,-72.903695,1
42.3004400841,-72.2398205101,1
42.2288304842,-71.2427861853,0
42.5233541754,-71.5907291049,0
41.9436873512,-70.0574179939,1
42.5071933333,-71.4075533333,0
42.2251263422,-71.2221751495,0
42.2824469201,-71.1733457319,1
41.9888359696,-70.70681549,1
42.3397206569,-72.2318261198,1
42.4659672065,-71.4118370144,1
42.1216136,-71.6715143,0
42.3800716667,-72.5112916667,0
42.1214908796,-72.6018941925,0
42.3784361111,-71.48075,0
41.7041333333,-70.2120366667,0
41.9018083333,-71.317725,0
42.64977,-72.2148816667,0
42.2472891,-71.95508733,0
42.5673892549,-72.2185456582,0
42.3521055556,-71.5321194444,0
41.3911946838,-70.0484268719,0
41.9136283333,-70.6705066667,0
42.4965592202,-71.3647370607,1
42.3118239617,-71.0949127749,0
42.6219416667,-72.7550416667,0
41.80822833,-71.114175,0
42.1334946499,-71.2068738446,0
42.6930283333,-70.5279466667,0
42.2943033333,-71.6342416667,0
41.7366959336,-70.1921050616,0
42.37411,-72.32802,0
41.9373283333,-71.297845,0
42.4897507228,-71.3496756358,1
42.5653004134,-71.3448281028,0
42.2197167669,-73.429596182,0
41.3929120857,-70.6520936602,0
42.6437814202,-71.5860777835,0
42.5104333333,-70.85382,0
42.3273466667,-71.4594583333,0
42.1039434989,-71.1779060685,0
41.785305,-70.0312278333,0
42.27783763,-71.196003,0
42.5012798693,-70.9456703776,1
41.6347308127,-70.3531783819,0
42.601854409,-70.8997275821,1
42.416694383,-72.5099267685,0
42.247591,-70.8179691367,0
42.6212820045,-71.558788754,0
42.6056290488,-71.6159874479,1
42.2454633333,-71.0321666667,0
42.3592459722,-71.0270869722,0
42.307425756,-71.2537014764,0
42.3475554166,-71.565244412,0
41.8718569898,-70.9442413598,0
42.1329612257,-71.1639730119,1
42.4178416667,-72.3449766667,0
41.4299421546,-70.6010198645,1
42.2519647,-71.0024887,0
42.7665960672,-71.1130348422,0
42.5708383333,-72.3987583333,0
42.5371166667,-72.1795666667,0
42.1203916667,-72.7841633333,0
42.4874638889,-71.4423472222,0
42.0252055556,-72.5837,0
41.3531383333,-70.7311866667,1
42.4650502239,-71.0981125021,0
42.4977141915,-70.9008054969,0
42.3525940301,-71.1960233376,0
42.216307282,-71.4625470732,1
41.6972231,-69.96926705,1
42.6360778809,-71.3757324219,0
42.63392,-71.5587,0
41.7397154009,-70.3794086912,0
42.772315979,-71.1067047119,0
42.026816818,-70.868254605,1
41.9772104737,-71.2006962992,0
41.6493189895,-70.6220587716,1
42.513427,-71.31644,0
