observation_id,observed_on,latitude,longitude,positional_accuracy,quality_grade,taxon_id,taxon_name,common_name,coordinates_obscured,uri
367513,2013-08-16,42.14608429,-72.61970128,10.0,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/367513
390940,2013-09-07,42.074126,-70.20659,5.0,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/390940
1341532,2015-03-19,42.4058283333,-71.1707383333,,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/1341532
1848890,2015-07-31,42.05835,-70.176405,100.0,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/1848890
1955765,2015-09-17,41.88152,-70.0014633333,,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/1955765
2476391,2015-12-12,42.062018,-71.110822,200.0,research,126770,Vulpes vulpes fulva,Eastern American Red Fox,False,http://www.inaturalist.org/observations/2476391
3160848,2016-05-08,42.624309,-73.134375,24.0,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/3160848
3532462,2015-06-28,41.6286916667,-70.5085666667,,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/3532462
3557947,2016-06-26,42.2757781623,-72.9732255266,5.0,research,126770,Vulpes vulpes fulva,Eastern American Red Fox,False,http://www.inaturalist.org/observations/3557947
3622190,2016-07-04,41.6816464128,-70.117803812,50.0,research,126770,Vulpes vulpes fulva,Eastern American Red Fox,False,http://www.inaturalist.org/observations/3622190
4501887,2014-09-09,42.6032087512,-70.8961293276,69.0,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/4501887
4648411,2016-11-27,42.52247976,-72.29736288,10.0,research,42069,Vulpes vulpes,Red Fox,False,http://www.inaturalist.org/observations/4648411
4963486,2016-04-09,41.5978150184,-70.6459090683,97.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/4963486
5051959,2013-08-15,41.6160280535,-70.6436898073,19.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5051959
5452722,2017-01-14,42.3245592945,-72.537926137,8.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5452722
5509786,2016-12-28,42.3246961263,-72.537911385,4.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5509786
5510066,2017-02-26,42.3244373355,-72.519312948,2.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5510066
5510481,2016-10-28,42.3275318481,-72.527213394,4.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5510481
5514995,2016-09-16,42.3299530171,-72.5333824754,8.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5514995
5515000,2016-11-10,42.3286006628,-72.5383687015,61.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5515000
5515002,2016-10-29,42.3250233315,-72.5408738852,15.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5515002
5525155,2016-12-25,42.3296833419,-72.5345599651,8.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5525155
5532758,2017-03-22,42.327187,-72.527651,3.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5532758
5773663,2017-04-14,41.9547866248,-70.6563109159,4.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5773663
5773664,2017-04-14,41.9547864602,-70.6563087702,1.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/5773664
6115783,2017-05-06,42.0799577976,-70.2188801765,31.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6115783
6287104,2017-05-10,41.8945507844,-70.0203108788,8.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6287104
6287804,2017-05-12,41.8752809829,-70.008152425,4.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6287804
6351441,2017-05-24,42.3249409433,-72.5339048316,40.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6351441
6490553,2017-06-02,42.3273783333,-72.5296033333,,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6490553
6543839,2017-06-03,42.326245,-72.5332333333,,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6543839
6722234,2017-06-15,42.5817533333,-71.1860666667,,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6722234
6752294,2017-06-12,42.3270368111,-72.5276397901,124.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6752294
6923231,2017-07-04,42.1390612918,-70.944838547,46.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/6923231
7155520,2017-07-22,41.6159866667,-70.6435916667,,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/7155520
7701113,2017-08-29,41.9346559095,-70.0399231911,5.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/7701113
7759129,2017-08-30,42.1209945,-72.7630616667,,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/7759129
7943198,2017-09-15,41.6948583333,-70.6212,,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/7943198
8838777,2017-11-17,41.9198737958,-70.5432588561,112.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/8838777
9396915,2017-11-03,42.326351635,-72.5408766427,19.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9396915
9396918,2017-11-10,42.327355,-72.5434159674,8.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9396918
9396919,2017-11-15,42.327366,-72.5434086473,31.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9396919
9397214,2017-11-13,42.3264258878,-72.5410328061,15.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9397214
9511059,2017-11-11,42.0626118985,-71.0887956619,61.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9511059
9511142,2017-11-13,42.0552038033,-71.0816931725,31.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9511142
9566072,2018-01-22,42.63045892,-70.84409344,10.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9566072
9732642,2018-02-01,42.6306163193,-70.8437711012,244.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9732642
9873033,2018-01-22,42.327972,-72.54305,4.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9873033
9874874,2018-01-03,42.330556,-72.522453,4.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9874874
9920691,2017-09-12,42.0891421759,-72.648554407,87.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/9920691
10394602,2013-07-16,42.4133313,-71.5097057,249.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/10394602
10585129,2018-03-06,42.3275185,-72.5431581,,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/10585129
10635368,2018-04-05,41.533745,-70.6678616667,165.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/10635368
10778811,2014-10-12,42.590978255,-71.5169089131,1.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/10778811
11179265,2018-04-19,42.33432566,-72.53394118,9.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/11179265
11349399,2018-04-17,42.33163,-72.53135,,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/11349399
11448258,2016-10-10,42.0859528333,-71.1985866667,5.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/11448258
11532811,2018-04-20,42.4592955573,-71.0802194587,22.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/11532811
11686723,2018-04-27,42.6296673271,-70.842756629,18.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/11686723
11891635,2018-04-30,41.9221252772,-70.5489989147,65.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/11891635
12037686,2018-05-02,42.32727754,-72.53270161,9.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/12037686
12399982,2016-02-16,42.6198383333,-71.1366971667,10.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/12399982
12653914,2018-05-20,42.4807466667,-71.23442,10.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/12653914
12858445,2018-05-27,42.3367666667,-71.7406166667,16.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/12858445
12903897,2018-05-25,41.5262033333,-70.67298,65.0,research,42069,Vulpes vulpes,Red Fox,False,https://www.inaturalist.org/observations/12903897
